 Downloading crates ...
384 +     use core::option::Option::Some;
    |

error[E0531]: cannot find tuple struct or tuple variant `Some` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:448:30
    |
448 |                 (Some(this), Some(source)) => this.clone_from(source),
    |                              ^^^^ not found in this scope
    |
help: consider importing this tuple variant
    |
384 +     use core::option::Option::Some;
    |

error[E0405]: cannot find trait `PartialEq` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:454:24
    |
454 |     impl<T: PartialEq> PartialEq for OnceCell<T> {
    |                        ^^^^^^^^^ not found in this scope
    |
help: consider importing this trait
    |
384 +     use core::cmp::PartialEq;
    |

error[E0405]: cannot find trait `PartialEq` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:454:13
    |
454 |     impl<T: PartialEq> PartialEq for OnceCell<T> {
    |             ^^^^^^^^^ not found in this scope
    |
help: consider importing this trait
    |
384 +     use core::cmp::PartialEq;
    |

error[E0405]: cannot find trait `Eq` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:460:17
    |
460 |     impl<T: Eq> Eq for OnceCell<T> {}
    |                 ^^ not found in this scope
    |
help: consider importing this trait
    |
384 +     use core::cmp::Eq;
    |

error[E0405]: cannot find trait `Eq` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:460:13
    |
460 |     impl<T: Eq> Eq for OnceCell<T> {}
    |             ^^ not found in this scope
    |
help: consider importing this trait
    |
384 +     use core::cmp::Eq;
    |

error[E0405]: cannot find trait `From` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:462:13
    |
462 |     impl<T> From<T> for OnceCell<T> {
    |             ^^^^ not found in this scope
    |
help: consider importing this trait
    |
384 +     use core::convert::From;
    |

error[E0425]: cannot find value `None` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:471:47
    |
471 |             OnceCell { inner: UnsafeCell::new(None) }
    |                                               ^^^^ not found in this scope
    |
help: consider importing this unit variant
    |
384 +     use core::option::Option::None;
    |

error[E0425]: cannot find function, tuple struct or tuple variant `Some` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:476:47
    |
476 |             OnceCell { inner: UnsafeCell::new(Some(value)) }
    |                                               ^^^^ not found in this scope
    |
help: consider importing this tuple variant
    |
384 +     use core::option::Option::Some;
    |

error[E0412]: cannot find type `Option` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:483:30
    |
483 |         pub fn get(&self) -> Option<&T> {
    |                              ^^^^^^ not found in this scope
    |
help: consider importing this enum
    |
384 +     use core::option::Option;
    |

error[E0412]: cannot find type `Option` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:508:38
    |
508 |         pub fn get_mut(&mut self) -> Option<&mut T> {
    |                                      ^^^^^^ not found in this scope
    |
help: consider importing this enum
    |
384 +     use core::option::Option;
    |

error[E0412]: cannot find type `Result` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:530:40
    |
530 |         pub fn set(&self, value: T) -> Result<(), T> {
    |                                        ^^^^^^ not found in this scope
    |
help: consider importing one of these items
    |
384 +     use crate::unsync::fmt::Result;
    |
384 +     use core::fmt::Result;
    |
384 +     use core::result::Result;
    |
384 +     use alloc::fmt::Result;
    |

error[E0531]: cannot find tuple struct or tuple variant `Ok` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:532:17
    |
532 |                 Ok(_) => Ok(()),
    |                 ^^ not found in this scope
    |
help: consider importing this tuple variant
    |
384 +     use core::result::Result::Ok;
    |

error[E0425]: cannot find function, tuple struct or tuple variant `Ok` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:532:26
    |
532 |                 Ok(_) => Ok(()),
    |                          ^^ not found in this scope
    |
help: consider importing this tuple variant
    |
384 +     use core::result::Result::Ok;
    |

error[E0531]: cannot find tuple struct or tuple variant `Err` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:533:17
    |
533 |                 Err((_, value)) => Err(value),
    |                 ^^^ not found in this scope
    |
help: consider importing this tuple variant
    |
384 +     use core::result::Result::Err;
    |

error[E0425]: cannot find function, tuple struct or tuple variant `Err` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:533:36
    |
533 |                 Err((_, value)) => Err(value),
    |                                    ^^^ not found in this scope
    |
help: consider importing this tuple variant
    |
384 +     use core::result::Result::Err;
    |

error[E0412]: cannot find type `Result` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:551:47
    |
551 |         pub fn try_insert(&self, value: T) -> Result<&T, (&T, T)> {
    |                                               ^^^^^^ not found in this scope
    |
help: consider importing one of these items
    |
384 +     use crate::unsync::fmt::Result;
    |
384 +     use core::fmt::Result;
    |
384 +     use core::result::Result;
    |
384 +     use alloc::fmt::Result;
    |

error[E0531]: cannot find tuple struct or tuple variant `Some` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:552:20
    |
552 |             if let Some(old) = self.get() {
    |                    ^^^^ not found in this scope
    |
help: consider importing this tuple variant
    |
384 +     use core::option::Option::Some;
    |

error[E0425]: cannot find function, tuple struct or tuple variant `Err` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:553:24
    |
553 |                 return Err((old, value));
    |                        ^^^ not found in this scope
    |
help: consider importing this tuple variant
    |
384 +     use core::result::Result::Err;
    |

error[E0425]: cannot find function, tuple struct or tuple variant `Some` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:561:21
    |
561 |             *slot = Some(value);
    |                     ^^^^ not found in this scope
    |
help: consider importing this tuple variant
    |
384 +     use core::option::Option::Some;
    |

error[E0425]: cannot find function, tuple struct or tuple variant `Ok` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:562:13
    |
562 |             Ok(unsafe { slot.as_ref().unwrap_unchecked() })
    |             ^^ not found in this scope
    |
help: consider importing this tuple variant
    |
384 +     use core::result::Result::Ok;
    |

error[E0405]: cannot find trait `FnOnce` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:588:16
    |
588 |             F: FnOnce() -> T,
    |                ^^^^^^ not found in this scope
    |
help: consider importing this trait
    |
384 +     use core::ops::FnOnce;
    |

error[E0425]: cannot find function, tuple struct or tuple variant `Ok` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:591:43
    |
591 |             match self.get_or_try_init(|| Ok::<T, Void>(f())) {
    |                                           ^^ not found in this scope
    |
help: consider importing this tuple variant
    |
384 +     use core::result::Result::Ok;
    |

error[E0531]: cannot find tuple struct or tuple variant `Ok` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:592:17
    |
592 |                 Ok(val) => val,
    |                 ^^ not found in this scope
    |
help: consider importing this tuple variant
    |
384 +     use core::result::Result::Ok;
    |

error[E0531]: cannot find tuple struct or tuple variant `Err` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:593:17
    |
593 |                 Err(void) => match void {},
    |                 ^^^ not found in this scope
    |
help: consider importing this tuple variant
    |
384 +     use core::result::Result::Err;
    |

error[E0405]: cannot find trait `FnOnce` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:624:16
    |
624 |             F: FnOnce() -> Result<T, E>,
    |                ^^^^^^ not found in this scope
    |
help: consider importing this trait
    |
384 +     use core::ops::FnOnce;
    |

error[E0412]: cannot find type `Result` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:624:28
    |
624 |             F: FnOnce() -> Result<T, E>,
    |                            ^^^^^^ not found in this scope
    |
help: consider importing one of these items
    |
384 +     use crate::unsync::fmt::Result;
    |
384 +     use core::fmt::Result;
    |
384 +     use core::result::Result;
    |
384 +     use alloc::fmt::Result;
    |

error[E0412]: cannot find type `Result` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:622:54
    |
622 |         pub fn get_or_try_init<F, E>(&self, f: F) -> Result<&T, E>
    |                                                      ^^^^^^ not found in this scope
    |
help: consider importing one of these items
    |
384 +     use crate::unsync::fmt::Result;
    |
384 +     use core::fmt::Result;
    |
384 +     use core::result::Result;
    |
384 +     use alloc::fmt::Result;
    |

error[E0531]: cannot find tuple struct or tuple variant `Some` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:626:20
    |
626 |             if let Some(val) = self.get() {
    |                    ^^^^ not found in this scope
    |
help: consider importing this tuple variant
    |
384 +     use core::option::Option::Some;
    |

error[E0425]: cannot find function, tuple struct or tuple variant `Ok` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:627:24
    |
627 |                 return Ok(val);
    |                        ^^ not found in this scope
    |
help: consider importing this tuple variant
    |
384 +     use core::result::Result::Ok;
    |

error[E0425]: cannot find function, tuple struct or tuple variant `Ok` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:635:13
    |
635 |             Ok(unsafe { self.get().unwrap_unchecked() })
    |             ^^ not found in this scope
    |
help: consider importing this tuple variant
    |
384 +     use core::result::Result::Ok;
    |

error[E0412]: cannot find type `Option` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:667:35
    |
667 |         pub fn take(&mut self) -> Option<T> {
    |                                   ^^^^^^ not found in this scope
    |
help: consider importing this enum
    |
384 +     use core::option::Option;
    |

error[E0412]: cannot find type `Option` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:687:36
    |
687 |         pub fn into_inner(self) -> Option<T> {
    |                                    ^^^^^^ not found in this scope
    |
help: consider importing this enum
    |
384 +     use core::option::Option;
    |

error[E0412]: cannot find type `Option` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:716:20
    |
716 |         init: Cell<Option<F>>,
    |                    ^^^^^^ not found in this scope
    |
help: consider importing this enum
    |
384 +     use core::option::Option;
    |

error[E0425]: cannot find function, tuple struct or tuple variant `Some` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:743:59
    |
743 |             Lazy { cell: OnceCell::new(), init: Cell::new(Some(init)) }
    |                                                           ^^^^ not found in this scope
    |
help: consider importing this tuple variant
    |
384 +     use core::option::Option::Some;
    |

error[E0412]: cannot find type `Result` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:749:48
    |
749 |         pub fn into_value(this: Lazy<T, F>) -> Result<T, F> {
    |                                                ^^^^^^ not found in this scope
    |
help: consider importing one of these items
    |
384 +     use crate::unsync::fmt::Result;
    |
384 +     use core::fmt::Result;
    |
384 +     use core::result::Result;
    |
384 +     use alloc::fmt::Result;
    |

error[E0405]: cannot find trait `FnOnce` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:758:16
    |
758 |     impl<T, F: FnOnce() -> T> Lazy<T, F> {
    |                ^^^^^^ not found in this scope
    |
help: consider importing this trait
    |
384 +     use core::ops::FnOnce;
    |

error[E0531]: cannot find tuple struct or tuple variant `Some` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:775:17
    |
775 |                 Some(f) => f(),
    |                 ^^^^ not found in this scope
    |
help: consider importing this tuple variant
    |
384 +     use core::option::Option::Some;
    |

error[E0531]: cannot find tuple struct or tuple variant `Some` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:797:21
    |
797 |                     Some(f) => f(),
    |                     ^^^^ not found in this scope
    |
help: consider importing this tuple variant
    |
384 +     use core::option::Option::Some;
    |

error[E0412]: cannot find type `Option` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:818:42
    |
818 |         pub fn get(this: &Lazy<T, F>) -> Option<&T> {
    |                                          ^^^^^^ not found in this scope
    |
help: consider importing this enum
    |
384 +     use core::option::Option;
    |

error[E0412]: cannot find type `Option` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:835:50
    |
835 |         pub fn get_mut(this: &mut Lazy<T, F>) -> Option<&mut T> {
    |                                                  ^^^^^^ not found in this scope
    |
help: consider importing this enum
    |
384 +     use core::option::Option;
    |

error[E0405]: cannot find trait `FnOnce` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:840:16
    |
840 |     impl<T, F: FnOnce() -> T> Deref for Lazy<T, F> {
    |                ^^^^^^ not found in this scope
    |
help: consider importing this trait
    |
384 +     use core::ops::FnOnce;
    |

error[E0405]: cannot find trait `FnOnce` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:847:16
    |
847 |     impl<T, F: FnOnce() -> T> DerefMut for Lazy<T, F> {
    |                ^^^^^^ not found in this scope
    |
help: consider importing this trait
    |
384 +     use core::ops::FnOnce;
    |

error[E0405]: cannot find trait `Default` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:853:22
    |
853 |     impl<T: Default> Default for Lazy<T> {
    |                      ^^^^^^^ not found in this scope
    |
help: consider importing this trait
    |
384 +     use core::default::Default;
    |

error[E0405]: cannot find trait `Default` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:853:13
    |
853 |     impl<T: Default> Default for Lazy<T> {
    |             ^^^^^^^ not found in this scope
    |
help: consider importing this trait
    |
384 +     use core::default::Default;
    |

error[E0405]: cannot find trait `Default` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:903:13
    |
903 |     impl<T> Default for OnceCell<T> {
    |             ^^^^^^^ not found in this scope
    |
help: consider importing this trait
    |
864 +     use core::default::Default;
    |

error[E0531]: cannot find tuple struct or tuple variant `Some` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:912:17
    |
912 |                 Some(v) => f.debug_tuple("OnceCell").field(v).finish(),
    |                 ^^^^ not found in this scope
    |
help: consider importing this tuple variant
    |
864 +     use core::option::Option::Some;
    |

error[E0405]: cannot find trait `Clone` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:918:20
    |
918 |     impl<T: Clone> Clone for OnceCell<T> {
    |                    ^^^^^ not found in this scope
    |
help: consider importing this trait
    |
864 +     use core::clone::Clone;
    |

error[E0405]: cannot find trait `Clone` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:918:13
    |
918 |     impl<T: Clone> Clone for OnceCell<T> {
    |             ^^^^^ not found in this scope
    |
help: consider importing this trait
    |
864 +     use core::clone::Clone;
    |

error[E0531]: cannot find tuple struct or tuple variant `Some` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:921:17
    |
921 |                 Some(value) => Self::with_value(value.clone()),
    |                 ^^^^ not found in this scope
    |
help: consider importing this tuple variant
    |
864 +     use core::option::Option::Some;
    |

error[E0531]: cannot find tuple struct or tuple variant `Some` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:928:18
    |
928 |                 (Some(this), Some(source)) => this.clone_from(source),
    |                  ^^^^ not found in this scope
    |
help: consider importing this tuple variant
    |
864 +     use core::option::Option::Some;
    |

error[E0531]: cannot find tuple struct or tuple variant `Some` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:928:30
    |
928 |                 (Some(this), Some(source)) => this.clone_from(source),
    |                              ^^^^ not found in this scope
    |
help: consider importing this tuple variant
    |
864 +     use core::option::Option::Some;
    |

error[E0405]: cannot find trait `From` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:934:13
    |
934 |     impl<T> From<T> for OnceCell<T> {
    |             ^^^^ not found in this scope
    |
help: consider importing this trait
    |
864 +     use core::convert::From;
    |

error[E0405]: cannot find trait `PartialEq` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:940:24
    |
940 |     impl<T: PartialEq> PartialEq for OnceCell<T> {
    |                        ^^^^^^^^^ not found in this scope
    |
help: consider importing this trait
    |
864 +     use core::cmp::PartialEq;
    |

error[E0405]: cannot find trait `PartialEq` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:940:13
    |
940 |     impl<T: PartialEq> PartialEq for OnceCell<T> {
    |             ^^^^^^^^^ not found in this scope
    |
help: consider importing this trait
    |
864 +     use core::cmp::PartialEq;
    |

error[E0405]: cannot find trait `Eq` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:946:17
    |
946 |     impl<T: Eq> Eq for OnceCell<T> {}
    |                 ^^ not found in this scope
    |
help: consider importing this trait
    |
864 +     use core::cmp::Eq;
    |

error[E0405]: cannot find trait `Eq` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:946:13
    |
946 |     impl<T: Eq> Eq for OnceCell<T> {}
    |             ^^ not found in this scope
    |
help: consider importing this trait
    |
864 +     use core::cmp::Eq;
    |

error[E0412]: cannot find type `Option` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:963:30
    |
963 |         pub fn get(&self) -> Option<&T> {
    |                              ^^^^^^ not found in this scope
    |
help: consider importing this enum
    |
864 +     use core::option::Option;
    |

error[E0425]: cannot find function, tuple struct or tuple variant `Some` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:966:17
    |
966 |                 Some(unsafe { self.get_unchecked() })
    |                 ^^^^ not found in this scope
    |
help: consider importing this tuple variant
    |
864 +     use core::option::Option::Some;
    |

error[E0425]: cannot find value `None` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:968:17
    |
968 |                 None
    |                 ^^^^ not found in this scope
    |
help: consider importing this unit variant
    |
864 +     use core::option::Option::None;
    |

error[E0412]: cannot find type `Option` in this scope
    --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:1019:38
     |
1019 |         pub fn get_mut(&mut self) -> Option<&mut T> {
     |                                      ^^^^^^ not found in this scope
     |
help: consider importing this enum
     |
864  +     use core::option::Option;
     |

error[E0412]: cannot find type `Result` in this scope
    --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:1058:40
     |
1058 |         pub fn set(&self, value: T) -> Result<(), T> {
     |                                        ^^^^^^ not found in this scope
     |
help: consider importing one of these items
     |
864  +     use crate::sync::fmt::Result;
     |
864  +     use core::fmt::Result;
     |
864  +     use core::result::Result;
     |
864  +     use alloc::fmt::Result;
     |

error[E0531]: cannot find tuple struct or tuple variant `Ok` in this scope
    --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:1060:17
     |
1060 |                 Ok(_) => Ok(()),
     |                 ^^ not found in this scope
     |
help: consider importing this tuple variant
     |
864  +     use core::result::Result::Ok;
     |

error[E0425]: cannot find function, tuple struct or tuple variant `Ok` in this scope
    --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:1060:26
     |
1060 |                 Ok(_) => Ok(()),
     |                          ^^ not found in this scope
     |
help: consider importing this tuple variant
     |
864  +     use core::result::Result::Ok;
     |

error[E0531]: cannot find tuple struct or tuple variant `Err` in this scope
    --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:1061:17
     |
1061 |                 Err((_, value)) => Err(value),
     |                 ^^^ not found in this scope
     |
help: consider importing this tuple variant
     |
864  +     use core::result::Result::Err;
     |

error[E0425]: cannot find function, tuple struct or tuple variant `Err` in this scope
    --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:1061:36
     |
1061 |                 Err((_, value)) => Err(value),
     |                                    ^^^ not found in this scope
     |
help: consider importing this tuple variant
     |
864  +     use core::result::Result::Err;
     |

error[E0412]: cannot find type `Result` in this scope
    --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:1080:47
     |
1080 |         pub fn try_insert(&self, value: T) -> Result<&T, (&T, T)> {
     |                                               ^^^^^^ not found in this scope
     |
help: consider importing one of these items
     |
864  +     use crate::sync::fmt::Result;
     |
864  +     use core::fmt::Result;
     |
864  +     use core::result::Result;
     |
864  +     use alloc::fmt::Result;
     |

error[E0425]: cannot find function, tuple struct or tuple variant `Some` in this scope
    --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:1081:29
     |
1081 |             let mut value = Some(value);
     |                             ^^^^ not found in this scope
     |
help: consider importing this tuple variant
     |
864  +     use core::option::Option::Some;
     |

error[E0425]: cannot find function, tuple struct or tuple variant `Ok` in this scope
    --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:1084:25
     |
1084 |                 None => Ok(res),
     |                         ^^ not found in this scope
     |
help: consider importing this tuple variant
     |
864  +     use core::result::Result::Ok;
     |

error[E0531]: cannot find tuple struct or tuple variant `Some` in this scope
    --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:1085:17
     |
1085 |                 Some(value) => Err((res, value)),
     |                 ^^^^ not found in this scope
     |
help: consider importing this tuple variant
     |
864  +     use core::option::Option::Some;
     |

error[E0425]: cannot find function, tuple struct or tuple variant `Err` in this scope
    --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:1085:32
     |
1085 |                 Some(value) => Err((res, value)),
     |                                ^^^ not found in this scope
     |
help: consider importing this tuple variant
     |
864  +     use core::result::Result::Err;
     |

error[E0405]: cannot find trait `FnOnce` in this scope
    --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:1117:16
     |
1117 |             F: FnOnce() -> T,
     |                ^^^^^^ not found in this scope
     |
help: consider importing this trait
     |
864  +     use core::ops::FnOnce;
     |

error[E0425]: cannot find function, tuple struct or tuple variant `Ok` in this scope
    --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:1120:43
     |
1120 |             match self.get_or_try_init(|| Ok::<T, Void>(f())) {
     |                                           ^^ not found in this scope
     |
help: consider importing this tuple variant
     |
864  +     use core::result::Result::Ok;
     |

error[E0531]: cannot find tuple struct or tuple variant `Ok` in this scope
    --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:1121:17
     |
1121 |                 Ok(val) => val,
     |                 ^^ not found in this scope
     |
help: consider importing this tuple variant
     |
864  +     use core::result::Result::Ok;
     |

error[E0531]: cannot find tuple struct or tuple variant `Err` in this scope
    --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:1122:17
     |
1122 |                 Err(void) => match void {},
     |                 ^^^ not found in this scope
     |
help: consider importing this tuple variant
     |
864  +     use core::result::Result::Err;
     |

error[E0405]: cannot find trait `FnOnce` in this scope
    --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:1154:16
     |
1154 |             F: FnOnce() -> Result<T, E>,
     |                ^^^^^^ not found in this scope
     |
help: consider importing this trait
     |
864  +     use core::ops::FnOnce;
     |

error[E0412]: cannot find type `Result` in this scope
    --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:1154:28
     |
1154 |             F: FnOnce() -> Result<T, E>,
     |                            ^^^^^^ not found in this scope
     |
help: consider importing one of these items
     |
864  +     use crate::sync::fmt::Result;
     |
864  +     use core::fmt::Result;
     |
864  +     use core::result::Result;
     |
864  +     use alloc::fmt::Result;
     |

error[E0412]: cannot find type `Result` in this scope
    --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:1152:54
     |
1152 |         pub fn get_or_try_init<F, E>(&self, f: F) -> Result<&T, E>
